CERT,NOME DO BANCO,2000 - 2004,2005 - 2009,2010 - 2014,2015 - 2017
17719,The Farmers and Merchants State Bank of Argonia,0,0,0,2017
1802,Fayette County Bank,0,0,0,2017
30003,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan) ",0,0,0,2017
58302,First NBC Bank,0,0,0,2017
35495,Proficio Bank,0,0,0,2017
19328,Seaway Bank and Trust Company,0,0,0,2017
34951,Harvest Community Bank,0,0,0,2017
91,Allied Bank,0,0,0,2016
11297,The Woodbury Banking Company,0,0,0,2016
35312,First CornerStone Bank,0,0,0,2016
9956,Trust Company Bank,0,0,0,2016
20364,North Milwaukee State Bank,0,0,0,2016
35156,Hometown National Bank,0,0,0,2015
35259,The Bank of Georgia,0,0,0,2015
34112,Premier Bank,0,0,0,2015
57772,Edgebrook Bank,0,0,0,2015
32102,Doral Bank,0,0,0,2015
33938,Capitol City Bank & Trust Company,0,0,0,2015
20290,Highland Community Bank,0,0,0,2015
17557,First National Bank of Crestview ,0,0,0,2015
34983,Northern Star Bank,0,0,2014,0
34738,"Frontier Bank, FSB D/B/A El Paseo Bank",0,0,2014,0
916,The National Republic Bank of Chicago,0,0,2014,0
4862,NBRS Financial,0,0,2014,0
28462,"GreenChoice Bank, fsb",0,0,2014,0
58125,Eastside Commercial Bank,0,0,2014,0
12483,The Freedom State Bank ,0,0,2014,0
21793,Valley Bank,0,0,2014,0
10450,Valley Bank,0,0,2014,0
32368,Slavie Federal Savings Bank,0,0,2014,0
32284,Columbia Savings Bank,0,0,2014,0
57866,AztecAmerica Bank ,0,0,2014,0
15062,Allendale County Bank,0,0,2014,0
58531,Vantage Point Bank,0,0,2014,0
35096,"Millennium Bank, National Association ",0,0,2014,0
34296,Syringa Bank,0,0,2014,0
17967,The Bank of Union,0,0,2014,0
5732,DuPage National Bank,0,0,2014,0
57431,"Texas Community Bank, National Association",0,0,2013,0
14794,Bank of Jackson County,0,0,2013,0
14318,First National Bank also operating as The National Bank of El Paso,0,0,2013,0
57041,The Community's Bank,0,0,2013,0
34707,Sunrise Bank of Arizona,0,0,2013,0
19849,Community South Bank,0,0,2013,0
35016,Bank of Wausau,0,0,2013,0
34943,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),0,0,2013,0
34789,Mountain National Bank,0,0,2013,0
58358,1st Commerce Bank,0,0,2013,0
35386,Banks of Wisconsin d/b/a Bank of Kenosha,0,0,2013,0
34527,Central Arizona Bank,0,0,2013,0
58185,Sunrise Bank,0,0,2013,0
58701,Pisgah Community Bank,0,0,2013,0
21649,Douglas County Bank,0,0,2013,0
57158,Parkway Bank,0,0,2013,0
58034,Chipola Community Bank,0,0,2013,0
26680,Heritage Bank of North Florida,0,0,2013,0
29594,First Federal Bank,0,0,2013,0
